name;city;start_day;start_month;start_year;end_day;end_month;end_year;Latitude;Longtitude;link
15th Annual Conference of the Italian Association for Cognitive Sciences;Pavia;17;11;2018;19;11;2018;-11.632774672822553;23.158666153853055;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333537
2018 Seminar on Linguistic Typology and the Expressions of Motion Events in Languages in China;Changshu;21;11;2018;23;11;2018;-45.403751489544774;-27.29387711108053;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=313096
8th International Conference on Academic Studies in Human Educational and Social Sciences;Tirana, ALBANIA;14;11;2018;15;11;2018;-81.28429360473618;126.63616924373544;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343816
A Host of Tongues…: Multilingualism, Lingua Franca and Translation in the Early Modern Period;Lisbon;13;11;2018;15;11;2018;6.294188706696644;32.96009608042341;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=327316
CogLingDays8;Louvain-la-Neuve;13;11;2018;14;11;2018;-60.429545795481104;80.02484982324407;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=317336
Discourse Markers, a Contrastive Perspective between Portuguese and Other Languages;Porto;13;11;2018;14;11;2018;54.43954261021889;-111.5937173709681;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339876
Fieldwork: Methods and Theory;Gothenburg;13;11;2018;14;11;2018;-16.085401897031467;60.86293060575637;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333036
Globalising Sociolinguistics 2: Communicating in the City;Leiden;13;11;2018;15;11;2018;50.53201808081921;-77.83630404513517;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=306396
I Workshop on Spoken Corpus Linguistics;València;13;11;2018;14;11;2018;87.8591221537535;-155.22659208449178;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=323076
Linguistic Issues in Vietnam and Southeast Asia;Ho Chi Minh City;21;11;2018;22;11;2018;-17.502808489988798;-169.86667070567233;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=328276
Semantics and Philosophy in Europe 10;Barcelona, Catalonia;17;11;2018;19;11;2018;-89.55192902485062;-18.07003275074453;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335296
Society for the History of Linguistics in the Pacific 6;Adelaide, South Australia;13;11;2018;14;11;2018;-0.5285422500044822;-107.82044506415414;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=316416
The Language of Art and Culture Heritage: a Pluringual and Digital Perspective;Bologna;13;11;2018;14;11;2018;67.50377445806951;3.148861533685451;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339236
Translation and Performative Practices: Itineraries in Translation History;Tartu;13;11;2018;15;11;2018;12.93531311132254;-12.16123486938998;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338756
What’s (the) News? Values, Viruses and Vectors of Newsworthiness;Brussels;13;11;2018;14;11;2018;45.10674184108984;-26.350780910207938;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=318696
Workshop on Accommodation in Speech Communication;Zurich;13;11;2018;13;11;2018;-16.71408628127986;-125.55265667028652;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347136
16th Old World Conference on Phonology;Verona;16;0;2019;18;0;2019;13.99535568063395;155.74917827836703;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329116
2019 MLA Convention Session: Pathways to Paradigm Change: Critical Examinations of Prevailing Discourses and Ideologies in Second Language Education;Chicago/Illinois;03;0;2019;06;0;2019;-5.0462317304786986;106.5714080883694;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=320097
3rd International Conference on Teaching Grammar;Barcelona;23;0;2019;25;0;2019;-67.84497171188102;90.46747693558551;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=308676
4th Variation and Language Processing;Sydney, NSW;23;0;2019;25;0;2019;71.23885878372805;104.3277785596718;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=324236
6th Workshop on Portuguese as a Second Language - Acquisition and Teaching;Lisbon;18;0;2019;19;0;2019;-68.01917049324256;-173.63799757027033;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338716
"AAAI Workshop on Affective Content Analysis &amp; Happiness Shared Task: Modeling Affect-in-Action";Honolulu, Hawaii;27;0;2019;28;0;2019;58.68570034444247;-176.06536748637728;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347617
American Dialect Society Annual Meeting;New York, NY;03;0;2019;06;0;2019;-3.2459003838660885;105.53347017069547;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325896
American Name Society;New York, NY;03;0;2019;06;0;2019;87.5056684133474;-81.7424388544985;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336816
Bilingualism in the Hispanic and Lusophone World;Leiden;09;0;2019;11;0;2019;-0.33111077393349275;138.05164038258405;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334816
CLIN 29: Computational Linguistics in The Netherlands;Groningen;31;0;2019;31;0;2019;-65.84252623464852;38.56594119052551;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345656
Community-based Language Research across the Americas;New York, NY;02;0;2019;03;0;2019;43.087113335904526;-31.164931184745527;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336996
Computer-Assisted Literary Translation workshop;Swansea;25;0;2019;26;0;2019;-3.829635359182172;118.14604469681964;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352796
Conference On Asian Linguistic Anthropology 1;Siem Reap;23;0;2019;26;0;2019;-58.26825612366103;141.0310681917502;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=301076
Experimental Approaches to Cross-linguistic Variation in Island Phenomena;New York, New York;03;0;2019;07;0;2019;82.77235445825823;9.960376225300923;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=326676
Fifth International Workshop for Computational Linguistics of Uralic Languages;Tartu;07;0;2019;08;0;2019;-17.54213117301054;-154.83774759728843;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338496
Fifth National Language Conference;Cuttack, Odisha,;19;0;2019;21;0;2019;-20.540564733144343;-29.145670193499463;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349456
First(!) Annual Meeting of the North American Research Network in Historical Sociolinguistics;New York City;05;0;2019;05;0;2019;7.337569321837083;35.315474001903965;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332436
Fremdsprachenlehrwerke in der Frühen Neuzeit: Perspektiven – Potentiale – Herausforderungen;Berlin;21;0;2019;22;0;2019;66.52445058707787;139.06838655301797;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331036
Hybrid/Paradoxal Representations of Gender and Sexuality;Siem Reap;23;0;2019;26;0;2019;-12.853242748975163;-100.47376929633909;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338356
Interdisciplinary Conference on the Prehistory of Transeurasian Millets and Beans, Languages and Genes;Jena, Thuringia;08;0;2019;11;0;2019;31.473836616085634;-20.40159955991711;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342896
International Perspectives on Assessing World Languages;Cairo;30;0;2019;31;0;2019;-31.455910654856513;116.49251539914273;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346976
JALT Hokkaido Winter Language Teaching Conference;Sapporo, Hokkaido;26;0;2019;27;0;2019;-89.473519760535;-113.76864571729868;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340376
Language and Post-queer Sexuality in East Asia;Siem Reap;23;0;2019;26;0;2019;-8.47589164430844;-87.41182227360422;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338376
L'apprenant en langues et dans les métiers de la traduction : source d'interrogations et de perspectives / Language learners and learning in the language and translation professions: questions pending and future avenues to explore;Rennes;31;0;2019;02;1;2019;-29.998244468243428;-5.224261948336276;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325356
